customer_id,natural_key,first_name,last_name,email,phone,address_line1,address_line2,city,state_region,postcode,country_code,latitude,longitude,birth_date,join_ts,is_vip,gdpr_consent
1,CUST-XAJI0Y6D,Teresa,Patrick,jared67@example.org,,Unit 03 492 Strong Gully,Level 0 ,Port Ernest,WA,0803,AU,-43.097777,120.351181,1997-08-20,2022-06-21T16:21:18,False,True
2,CUST-3ZMF8MDD,Heather,Allen,vickiewilliamson@example.com,(08)-4336-9730,Level 6 574 Amber Upper,Suite 740 ,Sharpton,TAS,2920,AU,-25.768245,152.870862,1993-12-16,2020-11-18T20:05:57,False,True
3,CUST-NGCX1945,Steven,Meyer,craigisaac@example.org,83945892,163 Robert Amble,,Port Lesliemouth,VIC,0888,AU,-31.920796,140.147357,1966-05-28,2021-12-01T19:26:50,False,True
4,CUST-9XUY41IB,Olivia,Fuller,fernandezbrooke@example.com,(02) 7967 2108,Apt. 955 7 Nicole Highroad,743/,Susanside,ACT,2303,AU,-14.203501,125.216471,2004-10-14,2024-06-08T23:24:19,False,True
5,CUST-UJV6OH9S,Sean,Taylor,april66@example.net,,282/355 Griffin Block,Suite 300 ,Port Douglasland,SA,2911,AU,-17.069302,129.730719,1965-09-12,2024-04-25T13:53:39,False,True
6,CUST-T7YE511M,Ashley,Dean,fbonilla@example.org,0406.168.858,,Level 2 ,Villegasland,NSW,2650,AU,-19.530857,152.8193,1976-01-11,2021-03-11T22:45:59,False,True
7,CUST-F1T2TALA,Robert,Ortiz,cynthia31@example.net,08-4333-8162,Apt. 576 263 Laura Cove,,Williamtown,TAS,2991,AU,-42.030544,148.876403,1967-01-24,2020-12-16T17:41:39,False,True
8,CUST-EX8FSV87,Dawn,Moss,jennifer04@example.net,(07)71620343,Unit 06 620 Morris Range,,New Ellen,TAS,2997,AU,-21.162643,127.683661,2000-07-03,2021-05-10T09:01:33,False,True
9,CUST-IHCWI64C,Margaret,Lowery,ellen46@example.org,0422.653.220,Flat 88 9 Stacey Artery,,New Malloryfort,NSW,4299,AU,-12.192516,135.98381,2002-05-28,2022-09-22T17:13:13,False,True
10,CUST-PPQ0Y9DO,Stephanie,Bradley,adamsjennifer@example.org,08.0569.2860,Flat 73 0 Kaitlyn Pocket,,West Robinmouth,TAS,2495,AU,-28.747139,129.719029,1984-12-27,2025-03-09T09:05:42,False,True
11,CUST-4DXTAD1I,Christina,Orozco,hernandezjennifer@example.net,(02)-0153-4906,13/513 Ryan Street,Apt. 685 ,Millerburgh,WA,2950,AU,-38.402338,112.090526,1995-01-10,2022-12-22T16:33:58,False,True
12,CUST-2XRGHC0C,Courtney,Neal,briannaoconnor@example.net,,46 Kyle Edge,400/,Lake April,QLD,2629,AU,-25.941711,114.388942,2005-07-23,2020-11-24T06:45:56,True,True
13,CUST-O7UUBCXU,David,Randolph,garrettbreanna@example.org,+61-3-2397-3291,Level 6 12 Lowe Avenue,,West Karl,WA,2654,AU,-34.969107,117.496888,1986-11-30,2025-02-15T11:30:41,False,True
14,CUST-WUDTSEMC,Ashley,Ramos,justinwalsh@example.org,(08).7026.6049,61/813 Anthony Cul-de-sac,8/,Port Christine,NSW,2683,AU,-33.714417,153.321839,1960-09-13,2023-05-11T03:46:17,False,True
15,CUST-DTJVZHWJ,Alexandra,Myers,gbyrd@example.net,1215 2094,Apt. 450 0 Jackson Way,,Port Katherine,QLD,2668,AU,-29.598424,123.620569,1960-04-26,2023-09-28T04:45:46,False,True
